Dia;S;I;R;N
0;999.0;1.0;0.0;1000.0
1;990.8733713069395;6.692550093551287;2.434078599509247;1000.0
2;938.8062285365695;43.18669650802825;18.007074955402416;1000.0000000000002
3;681.1332029522963;223.85177894641828;95.01501810128566;1000.0000000000002
4;201.7353506298353;560.5030384908835;237.76161087928145;1000.0000000000001
5;24.354331317027523;686.4518852465776;289.19378343639517;1000.0000000000003
6;2.3326481251965197;703.8022101387666;293.8651417360373;1000.0000000000005
7;0.2162039469252729;707.2186493964764;292.56514665659876;1000.0000000000005
8;0.019844487866510316;709.273572033918;290.7065834782159;1000.0000000000005
9;0.0018078382735873492;711.1847470039481;288.81344515777863;1000.0000000000005
10;1.6350839979107495E-4;713.0655623679802;286.93427412362036;1000.0000000000002
11;1.4683122000155792E-5;714.9266199876347;285.0733653292437;1000.0000000000005
12;1.3092543412558249E-6;716.7690569026473;283.2309417880986;1000.0000000000002
13;1.1592722136545118E-7;718.5931437155654;281.4068561685076;1000.0000000000002
14;1.0193676024725877E-8;720.3990707737582;279.6009292160484;1000.0000000000005
15;8.902012173006302E-10;722.1870195450788;277.8129804540312;1000.0000000000002
16;7.7212073866313E-11;723.9571690663314;276.0428309335917;1000.0000000000002
17;6.651956628130336E-12;725.7096965365398;274.29030346345377;1000.0000000000002
18;5.692565054202987E-13;727.444777385802;272.55522261419753;1000.0000000000001
19;4.839360855924281E-14;729.1625852973601;270.83741470263976;999.9999999999999
20;4.087108804713705E-15;730.8632922253819;269.136707774618;999.9999999999999
21;3.4294077336380926E-16;732.5470684122071;267.45293158779293;1000.0
22;2.859058830309003E-17;734.2140824053924;265.7859175946076;1000.0
23;2.3683953078532727E-18;735.8645010745836;264.1354989254164;1000.0
24;1.9495675271702628E-19;737.4984896282187;262.5015103717812;1000.0
25;1.5947807954183866E-20;739.1162116300666;260.8837883699332;999.9999999999998
26;1.296485747662286E-21;740.7178290155988;259.28217098440103;999.9999999999998
27;1.04752336957354E-22;742.3035021081998;257.6964978917999;999.9999999999998
28;8.412283244082816E-24;743.8733896352159;256.1266103647838;999.9999999999997
29;6.714953303702457E-25;745.4276487438434;254.57235125615637;999.9999999999998
